"","Treatment","Temp","Li..mg.L.1.","pHt","TA","pCO2..uatm.","DIC..umol.kg.","omega_ca","omega_ar","pH_insitu","flag","S","T","Patm","P","pH","CO2","fCO2","pCO2","fCO2pot","pCO2pot","fCO2insitu","pCO2insitu","HCO3","CO3","DIC","ALK","OmegaAragonite","OmegaCalcite","pH_insitu2"
"1","ML1P1_20",20.8,0.18,7.9672337,2512.455131,536.8437,2272,4.431979,2.896001,7.9672238217218,8,38,20.8,1,0,7.9672337,1.65739845966834e-05,531.299856507909,533.091136868684,531.299856507909,533.091136868684,531.299856507909,533.09114051113,0.00205162265771992,0.000188217816702924,0.00225641445901953,0.002512455131,2.87580640899168,4.4010666170428,7.9672238217218
"2","ML1P2_20",20.6,0.19,7.6719766,2496.979849,1149.8205,2384.5,2.4219045,1.5816925,7.67194842089957,8,38,20.6,1,0,7.6719766,3.59212464707249e-05,1145.24868729613,1149.12219233584,1145.24868729613,1149.12219233584,1145.24868729613,1149.12220933282,0.00224354553029342,0.000103512059603958,0.00238297883636811,0.002496979849,1.58052313861308,2.42010405308084,7.67194842089957
"3","ML2P1_20",20.55,7.5,7.9699199,2482.069676,526.3658,2244.5,4.3646185,2.850064,7.96991007778431,8,38,20.55,1,0,7.9699199,1.63603870968022e-05,520.894204733447,522.655840690244,520.894204733447,522.655840690244,520.894204733447,522.65584420982,0.00202703749573473,0.000185373718653571,0.00222877160148511,0.002482069676,2.82999957981778,4.33389146241189,7.96991007778431
"4","ML2P2_20",20.65,7.5,7.6881015,2470.527275,1098.958,2367,2.4969685,1.6309315,7.68807454792246,8,38,20.65,1,0,7.6881015,3.40644935059762e-05,1087.53251060466,1091.20828282311,1087.53251060466,1091.20828282311,1087.53251060466,1091.2082981339,0.00221038777889533,0.000106038171654476,0.00235049044405578,0.002470527275,1.61936243106941,2.47924053746648,7.68807454792246
"5","ML1P1_24",25.5,0.18,7.9663231,2496.392171,531.49765,2216.5,5.079735,3.3651315,7.96631217978688,8,38,25.5,1,0,7.9663231,1.45223773019428e-05,526.075403355182,527.749511553506,526.075403355182,527.749511553506,526.075403355182,527.749514790624,0.00197166592805382,0.000214794637345015,0.00220098294270078,0.002496392171,3.34147248146955,5.04402125525193,7.96631217978688
"6","ML1P2_24",25.45,0.18,7.7558513,2504.624924,941.90565,2339.5,3.41023,2.258789,7.75582799783654,8,38,25.45,1,0,7.7558513,2.57737879377742e-05,932.498416112394,935.469067982107,932.498416112394,935.469067982107,932.498416112394,935.469078164229,0.00215320311000252,0.000144214215323796,0.00232319111326409,0.002504624924,2.24299853646197,3.38638062316142,7.75582799783654
"7","ML2P1_24",25.35,7,7.9742073,2492.780205,519.29745,2209.5,5.121959,3.391518,7.9741967052686,8,38,25.35,1,0,7.9742073,1.4242113853239e-05,513.99855373893,515.637197997046,513.99855373893,515.637197997046,513.99855373893,515.637201096904,0.00196336855396599,0.000216615690449437,0.00219422635826867,0.002492780205,3.36763048867545,5.08588408669794,7.9741967052686
"8","ML2P2_24",25.55,7.5,7.7557375,2499.874028,940.58695,2334.5,3.413879,2.2619155,7.75571411001219,8,38,25.55,1,0,7.7557375,2.56690458484739e-05,931.021948539796,933.98428367703,931.021948539796,933.98428367703,931.021948539796,933.984293805828,0.0021480104937767,0.000144356370462637,0.00231803591008781,0.002499874028,2.2461779971813,3.39012205460249,7.75571411001219
